北歐航空Dash 8起落架故障事件,2007年9月9日,5,4,,庞巴迪Q400
中華航空120號班機事故,2007年8月20日,,8,,波音737-809
肯亞航空507號班機空難,2019年2月7日,0,9,,波音737-8AL
亞當航空574號班機空難,2015年12月11日,0,6,12,波音737-400
巴西天馬航空3054號班機空難,2007年7月17日,154,6,,波音737-800
加鲁达印尼航空200号班机空难,2007年3月7日,112,7,,波音737-4B7
One-Two-GO航空269號班機空難,2007年9月16日,43,7,,
莫雷阿航空1121號班機空難,2007年8月9日,0,1,,
2008年墨西哥城墜機事件,2008年11月4日,,3,,波音767
2008年美軍B-2轟炸機墜毀事故,2008年2月23日,,2,0,波音737
苏丹航空109号班机空难,2008年6月10日,,11,,波音737
伊朗阿斯曼航空6895號班機空難,2014年3月15日,,,,波音737
海南航空7227號班機事故,2014年7月20日,,,,波音737-84P
5·31四川救災直升機失事事故,2008年5月31日,0,5,,波音737
英國航空38號班機事故,2008年1月17日,47,16,,波音777-236ER
北俄羅斯航空821號班機空難,2008年9月16日,0,6,,波音737-500
2008年大连机场跑道入侵事件,2008年4月30日,,,,空中客车A319
西班牙航空5022号班机空难,2008年8月20日,19,6,20,波音737
2008年苏里南空难,2008年4月3日,2,,,波音737
聖巴巴拉航空518號班機空難,2014年4月26日,0,3,,波音737
雪人航空103号班机空难,2008年10月8日,3,,,波音737
德國特大航空888T號班機空難,2015年12月11日,0,3,,波音737
澳洲航空72號班機事故,2008年10月7日,115,12,,波音737
澳洲航空30號班機事故,2015年11月2日,0,19,,波音747-438
艾維特航空324號班機空難,2009年11月28日,4,7,,
美国帝国航空8284号班机事故,2018年7月28日,,2,,
阿聯酋航空407號班機事故,2009年3月20日,0,18,,
裏海航空7908號班機空難,2009年7月15日,15,,168,
阿利亞航空1525號班機空難,2009年7月24日,,19,,
也门航空626号班机空难,2009年6月30日,,,,
土耳其航空1951号班机空难,2009年2月25日,86,7,,波音737-8F2
聯邦快遞80號班機空難,2009年3月22日,0,2,,
