Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-TAR,ATA Airlines,Oct 2012(Feb 2012),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,5N-JAI,Dana Air,28-May-09,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,9Q-CSZ,BlueSky Airlines,9-Mar-15,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9401W,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9402W,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N375MS,GECAS,22 Dec 2011(30 Jun 2005),Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,5N-JOY,Dana Air,12-Jun-13,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N787TW,Frontera Flight Holdings,12-Apr-18,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,XA-,Aeronaves TSM,Due,Planned
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,UR-CPR,Bravo Airways,29-Nov-16,Written Off
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9403W,Aerothrust Holdings,12-Jul-18,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,5N-DEV,Dana Air,11-May-12,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N992JM,Frontera Flight Holdings,26-Mar-18,Stored
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,XA-,Aeronaves TSM,Due,Planned
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-ZAC,Zagros Air,Feb 2012(May 2009),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N806WA,World Atlantic Airlines,2 Jul 2014(13 Sep 2013),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N589AA,US Aviation,3-Jul-14,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N83GF,Judah 1,30-Dec-18,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N276CS,Jetran,16-Oct-12,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N590AA,American Airlines,30-Sep-91,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N591AA,Jet Midwest Group,19-Dec-14,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9404V,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N592AA,Frontera Flight Holdings,27-Aug-18,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N593AA,Delta Air Lines,4-Mar-16,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N928AV,Bank of Utah,11-Feb-15,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9405T,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,LV-VAG,Aerolineas Argentinas,1 Nov 2008(27 Apr 1992),Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,B-28011,Far Eastern Air Transport,8-Jun-93,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N765TW,Trans World Airlines Inc,8 Dec 2017(24 Feb 2016),Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N594AA,Delta Air Lines,23-Feb-16,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N307FA,Falcon Air Express,Aug-13,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N960AS,Alaska Airlines,23-Mar-92,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N961AS,Alaska Airlines,31-Mar-92,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N991JM,Frontera Flight Holdings,26-Mar-18,Stored
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,XA-,Aeronaves TSM,Due,Planned
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N786TW,Ameristar,17-Dec-10,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N962AS,Alaska Airlines,24-Apr-92,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N595AA,Aerothrust Holdings,26-May-16,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,PK-OCS,Airfast Indonesia,22-Nov-11,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N125MN,Everts Air,2-Mar-16,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N963AS,Alaska Airlines,27-May-92,Written Off
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,N964CE,Everts Air,20 May 2016( 5 Jul 2013),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N596AA,Delta Air Lines,23-Feb-16,Stored
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,N965CE,Everts Air,22 Aug 2017( 8 Sep 2014),Active
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,XA-UZI,Aeronaves TSM,6-Jun-17,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,XA-UZV,Aeronaves TSM,29-Dec-17,Active
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,XA-UZX,Aeronaves TSM,5-Jan-18,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N76200,Frontera Flight Holdings,19-Jul-18,Stored
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,XA-,Aeronaves TSM,Due,Planned
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N801WA,World Atlantic Airlines,31 Aug 2018(12 Feb 2018),Stored
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,XA-,Aeronaves TSM,31-Oct-18,Stored
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,XA-VCB,Aeronaves TSM,30-May-18,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9406W,Aerothrust Holdings,14-Nov-16,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N410NV,Allegiant Air,21-Oct-09,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,ZS-SKB,1Time,May-10,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,S2-AFV,United Airways,23-Nov-11,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N807WA,World Atlantic Airlines,11 Jun 2015( 6 May 2015),Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,UR-CPB,Anda Air,25-Jul-16,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,-,SAIC Shanghai Aircraft Industries Corporation,,Not Built
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,S2-AEI,TAC Airlines,5-Sep-13,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N972AS,Alaska Airlines,31-Mar-94,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N973AS,Ryan International Airlines,13-Mar-08,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N974AS,Everts Air,6-Nov-18,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N975AS,Air Capital Group,1-May-13,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-MDF,Iran Airtour,5 Sep 2014(2013),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-CPX,Caspian Airlines,Sep 2012(Jul 2012),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,TC-AKM,Atlasjet,27-Jun-07,Written Off
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-CPZ,Caspian Airlines,Sep 2012(Aug 2012),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-SED,Sahand Airlines,22-Jan-17,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-TAM,ATA Airlines,Dec 2012(Feb 2010),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-TAP,ATA Airlines,28 Nov 2012(17 Mar 2010),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N877GA,Allegiant Air,19-Jul-05,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,PK-OCR,Airfast Indonesia,30-Mar-15,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YV3024,Aserca Airlines,17-Jun-14,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N875GA,Allegiant Air,22-Jul-05,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N876GA,Allegiant Air,24-Aug-05,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-CBI,Taftan Airlines,26-Dec-16,Active
